Col	Row	Sps1	Sps2	C-scoreObs	C-scoreExp	p.less	p.greater	ses
18	21	S18	S21	0	0.991	0.00999000999000999	1	-10.4881361547226
18	22	S18	S22	0	0.991	0.00999000999000999	1	-10.4881361547226
18	23	S18	S23	0	2.931	0.023976023976024	1	-6.51427529420546
19	20	S19	S20	0	0.989	0.011988011988012	1	-9.47729823410564
19	21	S19	S21	0	0.989	0.011988011988012	1	-9.47729823410564
19	22	S19	S22	0	0.992	0.00899100899100899	1	-11.1299595686597
19	23	S19	S23	0	2.907	0.031968031968032	1	-5.58809506465423
20	21	S20	S21	0	0.994	0.00699300699300699	1	-12.8647191963136
20	22	S20	S22	0	0.993	0.00799200799200799	1	-11.9044229475555
20	23	S20	S23	0	2.919	0.027972027972028	1	-6.00008333275464
21	22	S21	S22	0	0.989	0.011988011988012	1	-9.47729823410564
21	23	S21	S23	0	2.91	0.030969030969031	1	-5.68339687159009
22	23	S22	S23	0	2.925	0.025974025974026	1	-6.24187471838389
24	25	S24	S25	15	31.23	0.02997002997003	1	-2.84650953338344
